ts,calories,fat,cholesterol,sodium,carbohydrate,protein,servings,indices
2021-11-11 22:28,38.5,0.0,0.0,0.1,10.0,0.0,"[0.1]","[22]"
2021-11-12 09:13,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0]","[0]"
2021-11-12 12:42,330.0,13.0,65.0,1870.0,35.0,22.0,"[2.0,1.0,1.0,1.0]","[8,83,84,85]"
2021-11-12 16:10,505.0,20.0,0.0,1575.0,74.5,9.5,"[1.0,1.0,0.5]","[16,17,59]"
2021-11-12 19:49,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0]","[0]"
2021-11-12 20:25,290.0,21.0,50.0,570.0,8.0,16.0,"[1.0]","[37]"
2021-11-12 22:54,280.0,9.0,35.0,260.0,41.0,10.0,"[1.0,1.0,1.0]","[4,8,41]"
2021-11-13 12:24,320.0,26.0,240.0,790.0,2.0,20.0,"[1.0]","[9]"
2021-11-13 14:53,338.5,10.8,21.0,232.1,55.6,9.8,"[0.6,0.1,1.0]","[4,22,74]"
2021-11-13 19:48,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0]","[0]"
2021-11-13 22:16,151.0,4.0,17.5,65.6,25.1,4.0,"[0.5,0.2]","[4,54]"
2021-11-13 22:29,65.0,4.0,0.0,0.0,8.5,0.5,"[0.5]","[59]"
2021-11-14 01:33,330.0,3.0,0.0,420.0,73.0,6.0,"[3.0,2.0]","[8,41]"
2021-11-14 10:33,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0]","[0]"
2021-11-14 11:53,330.0,13.0,65.0,1870.0,35.0,22.0,"[2.0,1.0,1.0,1.0]","[8,83,84,85]"
2021-11-14 14:55,140.0,6.0,0.0,170.0,19.0,2.0,"[1.0]","[34]"
2021-11-14 16:26,640.0,44.0,185.0,2155.0,44.0,15.0,"[1.0,1.0]","[17,44]"
2021-11-14 18:33,330.0,13.0,65.0,1870.0,35.0,22.0,"[2.0,1.0,1.0,1.0]","[8,83,84,85]"
2021-11-14 21:53,140.0,6.0,0.0,170.0,19.0,2.0,"[1.0]","[71]"
2021-11-15 12:24,392.0,26.0,272.0,585.0,17.0,21.0,"[1.0,1.0,1.0]","[4,21,92]"
2021-11-15 15:18,370.0,14.0,0.0,1440.0,54.0,8.0,"[1.0]","[16]"
2021-11-15 19:18,67.5,0.75,33.75,270.0,0.0,15.0,"[0.75]","[53]"
2021-11-15 20:46,462.0,15.0,242.0,505.0,58.0,18.0,"[1.0,1.0,2.0,1.0]","[3,4,8,21]"
2021-11-16 02:09,320.0,10.5,65.0,1870.0,32.0,23.0,"[2.0,2.0,1.0]","[8,19,83]"
2021-11-16 12:54,327.0,5.0,50.0,1575.2,55.0,17.0,"[1.0,0.2,1.0]","[17,22,30]"
2021-11-16 15:57,320.0,10.5,65.0,1870.0,32.0,23.0,"[2.0,2.0,1.0]","[8,19,83]"
2021-11-16 18:15,299.0,13.0,242.0,185.2,32.0,14.0,"[1.0,1.0,0.2]","[4,21,22]"
2021-11-16 19:43,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0]","[0]"
2021-11-16 20:47,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0]","[0]"
2021-11-16 23:17,200.0,2.0,0.0,280.0,43.0,4.0,"[2.0,1.0]","[8,41]"
2021-11-17 08:35,7.2,0.5,20.70,6.5,0.1,0.60,"[0.1]","[21]"
2021-11-17 11:38,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0]","[0]"
2021-11-17 13:31,60.0,1.75,0.0,70.0,11.0,"[0]","[0.5]","[94]"
2021-11-17 15:28,385.0,13.0,65.0,1965.0,40.5,25.0,"[2.0,2.0,0.5,1.0]","[8,19,82,83]"
2021-11-17 22:38,129.0,0.0,0.0,245.0,28.0,3.0,"[1.0]","[95]"
2021-11-18 11:53,361.2,0.0,0.0,686.0,78.40,8.409,"[2.8]","[95]"
2021-11-18 14:57,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0]","[0]"
2021-11-18 18:06,216.0,15.0,621.0,195.0,3.0,18.0,"[3.0]","[21]"
2021-11-18 18:36,50.05,0.0,0.0,0.13,13.0,0.0,"[0.13]","[22]"
2021-11-18 20:26,227.0,8.0,35.0,120.2,31.0,8.0,"[1.0,0.2]","[4,22]"
2021-11-18 20:39,15.0,0.0,0.0,0.0,3.75,0.0,"[0.25]","[55]"
2021-11-18 23:03,160.0,10.0,0.0,210.0,16.0,2.0,"[1.0]","[63]"
2021-11-19 03:56,320.0,10.5,65.0,1870.0,32.0,23.0,"[2.0,2.0,1.0]","[8,19,83]"
2021-11-19 11:52,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0]","[0]"
2021-11-19 12:28,330.0,11.0,65.0,1770.0,30.0,25.0,"[2.0,2.0,1.0]","[8,19,38]"
2021-11-19 15:47,77.0,0.0,0.0,0.2,20.0,0.0,"[0.2]","[22]"
2021-11-19 17:59,340.0,13.0,30.0,1595.0,45.0,12.0,"[1.0,1.0]","[15,17]"
2021-11-19 18:25,60.0,1.75,0.0,70.0,11.0,1.0,"[0.5]","[94]"
2021-11-19 21:36,392.0,31.0,447.0,855.0,3.0,26.0,"[1.0,1.0]","[9,21]"
2021-11-19 22:55,76.0,0.0,0.0,5.60,19.6,0.0,"[0.2]","[54]"
2021-11-20 09:25,242.0,18.0,237.0,465.0,6.0,13.0,"[1.0,1.0]","[21,92]"
2021-11-20 12:43,258.0,0.0,0.0,490.0,56.0,6.0,"[2.0]","[95]"
2021-11-20 17:30,415.0,17.0,47.5,470.0,51.5,8.0,"[1.0,0.5,2.0,1.0]","[3,4,8,99]"
2021-11-20 19:39,560.0,23.0,130.0,520.0,46.0,38.0,"[1.0]","[93]"
2021-11-21 10:33,550.0,28.0,155.0,2830.0,34.0,39.0,"[2.0,2.0,1.0,2.0,2.0]","[8,19,38,83,97]"
2021-11-21 14:36,230.0,12.0,30.0,230.0,30.0,2.0,"[1.0,1.0,1.0]","[8,41,99]"
2021-11-21 14:43,77.0,0.0,0.0,0.2,20.0,0.0,"[0.2]","[22]"
2021-11-21 16:46,201.0,5.0,207.0,310.0,29.0,9.0,"[1.0,1.0]","[21,95]"
2021-11-21 20:15,480.0,20.0,115.0,320.0,43.0,40.0,"[1.0]","[81]"
2021-11-22 10:06,430.0,19.0,125.0,2290.0,30.0,33.0,"[2.0,2.0,1.0,2.0]","[8,19,38,97]"
2021-11-22 13:14,129.0,0.0,0.0,245.0,28.0,3.0,"[1.0]","[95]"
2021-11-22 14:38,77.0,0.0,0.0,0.2,20.0,0.0,"[0.2]","[22]"
2021-11-22 15:09,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0]","[0]"
2021-11-22 20:55,230.0,12.0,30.0,230.0,30.0,2.0,"[1.0,1.0,1.0]","[8,41,99]"
2021-11-22 23:01,170.0,1.0,0.0,180.0,33.0,2.0,"[1.0,1.0]","[3,8]"
2021-11-23 11:13,430.0,19.0,125.0,2290.0,30.0,33.0,"[2.0,2.0,1.0,2.0]","[8,19,38,97]"
2021-11-23 20:08,780.0,44.0,160.0,610.0,56.0,40.0,"[1.0]","[104]"
2021-11-23 21:11,90.0,1.0,45.0,360.0,0.0,20.0,"[1.0]","[53]"
2021-11-23 22:39,0.0,0.0,0.0,0.0,0.0,0.0,"[45.0]","[0]"
2021-11-24 12:22,0.0,0.0,0.0,0.0,0.0,0.0,"[28.0]","[0]"
2021-11-24 16:07,330.0,11.0,65.0,1770.0,30.0,25.0,"[2.0,2.0,1.0]","[8,19,38]"
2021-11-24 19:49,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0]","[0]"
2021-11-24 21:56,130.0,8.0,0.0,0.0,17.0,1.0,"[1.0]","[59]"
2021-11-24 23:40,0.0,0.0,0.0,0.0,0.0,0.0,"[42.0]","[0]"
2021-11-29 17:51,660,42,240,1760,46,24,"[1]","[46]"
2021-11-29 22:57,200,8,40,970,15,15,"[1,1,1]","[8,19,38]"
2021-11-30 16:46,200,8,40,970,15,15,"[1,1,1]","[8,19,38]"
2021-11-30 16:54,910,58,305,2810,59,35,"[1,1,1,1]","[8,19,38,47]"
2021-11-30 19:33,590,37,255,1740,44,20,"[1]","[48]"
2021-12-08 18:17,330,11,65,1770,30,25,"[2,2,1]","[8,19,38]"
2022-01-31 10:01,380.0,16.0,90.0,540.0,40.0,19.0,"[1.0, 1.0]","[4, 128]"
2022-01-31 14:19,370.0,15.0,95.0,1930.0,30.0,25.0,"[2.0, 1.0, 2.0]","[8, 38, 39]"
2022-01-31 17:50,530.0,29.0,110.0,1825.0,49.0,19.0,"[1.0, 1.0]","[14, 17]"
